,Gene_symbol,Log_FoldChange,PValue
967,CAMK2D,-1.008,0.0029749078446099603
971,CERS6,-1.04,0.00303327319724128
977,PTGER3,-1.334,0.00308653532712388
984,NMNAT2,-1.004,0.00313406456366978
988,PCDH1,-1.012,0.00316292643656857
1003,LOC101927989,-3.054,0.00325386592763655
1015,GPR179,-2.16,0.0033331363506281103
1025,RNF128,-1.1640000000000001,0.00341792050067266
1026,AGBL4,-1.202,0.00342097845982572
1032,C1orf74,-1.486,0.0034658108101676198
1043,RIT2,-1.338,0.00353832589120299
1044,TM6SF1,-1.099,0.00353469530391453
1054,HDC,-3.089,0.00361425716003856
1056,SMYD2,-1.011,0.0036313633147855
1060,SHH,-1.469,0.0036703025456146
1066,ARG2,-1.008,0.0037005312630152103
1073,NICN1,-1.107,0.0037479258403688
1085,TGM3,-2.332,0.0038487402682705796
1091,CPNE9,-1.001,0.0038823721533742398
1096,CILP2,-2.4219999999999997,0.0039338135426039604
1099,EIF4E1B,-1.242,0.00395700985665162
1104,GLRX2,-1.0270000000000001,0.00398262664685242
1105,TMEM196,-1.236,0.00396793685343099
1137,PACRGL,-1.247,0.00425091602379323
1151,IRF8,-1.758,0.00437727655367703
1162,BEST4,-1.86,0.0045431438965003205
1166,CALHM1,-1.5859999999999999,0.00457813212835555
1175,TWIST2,-1.8659999999999999,0.00469250546538585
1189,HECW2,-1.105,0.00478696863519407
1196,LINC01132,-3.793,0.00484727596753775
1197,LOC105378499,-3.0610000000000004,0.004854787271710971
1220,KIAA0895,-1.041,0.00514867870663932
1221,B4GALNT3,-1.094,0.00513473369182486
1222,LGI2,-1.216,0.0050783162331934206
1231,FBXO9,-1.031,0.00512860014500495
1236,TRPC6,-1.4780000000000002,0.00516129924946963
1240,PCP4,-1.1840000000000002,0.00522439061760864
1242,RAB33A,-1.23,0.00523874093423258
1248,NPTX2,-1.235,0.0052890564419960295
1253,LOC101928087,-3.826,0.00536136862420764
1255,RFPL2,-1.2830000000000001,0.00537898743357414
1264,KIAA1755,-1.6969999999999998,0.00542846160074206
1271,CYP26A1,-1.8219999999999998,0.00549740843011105
