,Gene_symbol,Log_FoldChange,PValue
558,KIAA1324,-1.5859999999999999,0.000572047723774721
559,CD46,-1.206,0.000571829030494822
560,EXTL3,-1.105,0.00057474566639454
562,HSD17B11,-1.166,0.000581162899874738
563,LOC729040,-2.889,0.0005878218511535151
565,MYLIP,-1.4140000000000001,0.000601582228303777
566,RALB,-1.235,0.000600654484409285
567,DGKG,-1.058,0.000607207830583591
569,CPQ,-1.379,0.000610380525529034
570,BCL2A1,-1.7890000000000001,0.0006122730763773559
571,IGF2R,-1.5859999999999999,0.0006117908259253259
578,PLPPR2,-1.2309999999999999,0.000631263942626211
580,ETS2,-1.034,0.000649513677092915
581,IPMK,-1.235,0.000651710348192925
583,FBXL5,-1.123,0.000654780939780463
584,SDCBP,-1.207,0.000661342301236385
585,B3GNT2,-1.382,0.000666408532386164
586,CFLAR,-1.359,0.000665512797330412
587,USP32,-1.217,0.0006708484870375901
588,ANGPTL2,-4.207,0.000675787152956647
589,VASP,-1.393,0.000679165939883269
590,UBXN2B,-1.192,0.000681792891220642
591,MTMR10,-1.042,0.00068239792241732
593,NCF1B,-1.504,0.0006858803908559151
594,TNNI2,-1.521,0.000691600370856036
595,ERV3-1,-1.463,0.000698453227413299
596,RAP1GAP,-3.0069999999999997,0.000705785396214357
597,ADIPOR1,-1.507,0.000705449308499497
598,LINC00664,-2.075,0.000709650295981987
599,SAT1,-1.575,0.000719649356523544
600,SCARF1,-1.558,0.0007323148530003179
602,BRD2,-1.47,0.000737117350297703
603,TUBB2A,-1.838,0.0007455914758551321
604,WNK2,-1.8869999999999998,0.0007493769927983231
605,RRAGD,-1.324,0.00074944453994833
606,FCGR3B,-3.063,0.000749038397757083
607,RALBP1,-1.11,0.000751358729964698
608,FLOT1,-1.265,0.0007539264141073259
609,TNFRSF10C,-2.786,0.000753599751608851
610,CKLF-CMTM1,-1.7169999999999999,0.000757871185024288
611,ICAM1,-1.47,0.00076220754433582
612,PPM1F,-1.124,0.000765274701364038
613,KIAA1257,-1.9769999999999999,0.000766856551906966
614,ADH1C,-2.339,0.0007757791554874769
615,CEACAM3,-2.237,0.00077387126389127
616,IL13RA1,-1.23,0.000774764782687467
617,MAP4K4,-1.052,0.0007710533882708831
618,PIK3AP1,-1.03,0.000772236873323067
