,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
1470,KRCC1,-1.09940592,0.0207057,1668.0
1489,ACADVL,-1.25248867,0.020914500000000003,1688.0
1511,BBS9,-1.17080958,0.0213475,1716.0
1522,GALNT1,-1.06073256,0.0214444,1727.0
1538,TFR2,-1.06213421,0.0216316,1743.0
1569,PIP4K2A,-1.25455343,0.0219747,1781.0
1593,SDR16C5,-1.14061602,0.0223156,1809.0
1638,GPD2,-1.27163687,0.0229323,1860.0
1676,RIOK2,-1.12549771,0.0234366,1900.0
1703,LIFR,-1.07169048,0.0237167,1930.0
1721,POLR3E,-1.00340861,0.0239239,1948.0
1736,TMEM135,-1.38091502,0.024177,1966.0
1763,ARL6IP4,-1.09450739,0.024613,1994.0
1799,UBR7,-1.04560261,0.0252168,2037.0
1832,ERBB4,-1.11064679,0.0257746,2077.0
1887,RPS23,-1.11117489,0.0266791,2142.0
1894,ZNF3,-1.29222463,0.0268392,2152.0
1903,KAL1,-1.17907562,0.027053,2164.0
1921,UBE3B,-1.12204835,0.027347500000000004,2186.0
1961,IGF2R,-1.29181013,0.0280252,2238.0
1977,ELOVL5,-1.06632744,0.0283181,2259.0
1979,RASSF8,-1.05866345,0.0283255,2261.0
2110,CHADL,-1.08294628,0.0305371,2421.0
2135,TMEM47,-1.01233278,0.0309092,2450.0
2143,GAPVD1,-1.10985803,0.0311668,2461.0
2145,UBE2W,-1.1020529,0.0312027,2463.0
2168,SLC25A37,-1.58330166,0.031556,2489.0
2175,HIBADH,-1.02787632,0.031651799999999994,2499.0
2184,FRY,-1.02824594,0.0318436,2508.0
2196,HTRA1,-1.03373554,0.0320415,2526.0
2259,C1orf56,-1.03557121,0.033037000000000004,2600.0
2266,ZNF697,-1.00193389,0.0331508,2608.0
2288,MLL,-1.08572298,0.033449,2631.0
2300,NBR1,-1.07322613,0.0337084,2645.0
2306,ATG3,-1.1096354,0.0337679,2651.0
2323,SRP72,-1.02637508,0.0340347,2669.0
2324,WDR26,-1.01020879,0.034048699999999994,2670.0
2329,PAQR6,-1.10690833,0.0341221,2675.0
2473,SMC6,-1.25023302,0.0363601,2853.0
2626,GPATCH2,-1.05549185,0.039,3042.0
2761,LRRC23,-1.01902223,0.0413326,3215.0
2790,WDR35,-1.01247905,0.0417035,3248.0
2897,TMED4,-1.11578524,0.0435716,3375.0
2916,RGS5,-1.23156738,0.0439588,3405.0
2923,PLEKHF2,-1.14384366,0.0440757,3413.0
3005,TEX261,-1.0535579,0.0454402,3519.0
3062,RNGTT,-1.09056421,0.0463523,3594.0
3077,NRP2,-1.38292063,0.0466367,3614.0
3177,GPRASP1,-1.03711892,0.0486096,3747.0
3191,CDC26,-1.05110873,0.0488359,3765.0
3244,EIF1AY,-1.6682641,0.0495965,3837.0
3246,RPS4Y1,-1.35814713,0.0496129,3839.0
